"subject","version","assignmentId","guess1","guess2","guess3","cc1","cc2","cc3","experienced","instructions_time","total_time","stamp","id"
"A2FBP73AQACKZ2","caus_thomas_boxes_v3","3JZQSN0I3QBV57ZO3UR57B0G7V8FGT","0","1","1","No","Yes","Yes","No","40973","104927","2017-10-06 16:45:28","1701"
"AFL51TGHCHC71","caus_thomas_boxes_v3","3H8DHMCCW9C399HB2FHUH3PO2ZAKDR","0","1","0","No","Yes","Yes","No","35146","120504","2017-10-06 16:45:36","1702"
"A3674XGKH8UXR4","caus_thomas_boxes_v3","3JNQLM5FT4NRQ51DQQ9E0KBZU8QL2M","0","1","0","No","Yes","Yes","No","34018","178143","2017-10-06 16:45:49","1703"
"A2OZO0I3XX690K","caus_thomas_boxes_v3","3Z2R0DQ0JHFDKZRL94MANPLFLBI2E9","0","1","0","No","Yes","Yes","No","38289","91361","2017-10-06 16:46:07","1704"
"A3O81LHBBI8NPK
","caus_thomas_boxes_v3","3T111IHZ5ERDTNHPGJLPWJSC66IR93","1","1","0","No","Not sure","Not sure","No","17696","85790","2017-10-06 16:46:10","1705"
"AWVSDERCNRHD0
","caus_thomas_boxes_v3","3WRFBPLXRAP6ZN0H633YWMKG5HQ3NH","0","1","0","No","Not sure","Yes","No","67598","240170","2017-10-06 16:46:11","1706"
"A1CC1ESUM2JWJ2","caus_thomas_boxes_v3","3BXQMRHWKZZKGZS09MKZ6GLGD4UUMA","0","1","0","No","Yes","Yes","No","29204","82237","2017-10-06 16:46:33","1707"
"AHZ5YRRIRTLJG","caus_thomas_boxes_v3","3YHH42UU5BGKUVYZB350HWIKXA70LI","0","0","1","No","Yes","Yes","No","78555","179883","2017-10-06 16:46:38","1708"
" AUXFTGFNKHP4Z
","caus_thomas_boxes_v3","3KJYX6QCM9CUS6BFBFHCMAVINHFVJ3","0","1","1","No","Yes","Yes","No","32558","88481","2017-10-06 16:47:12","1709"
"A29RJVVL54THB5","caus_thomas_boxes_v3","3VHP9MDGRNLIOVJJ18VMHKF193JCFJ","0","0","1","No","Yes","Yes","No","24775","114185","2017-10-06 16:47:22","1710"
"AQ9QT3L1WGEPO","caus_thomas_boxes_v3","3BWI6RSP7GAK60ORFG35JG2NWRDE7A","0","1","0","No","Yes","Yes","No","27155","73693","2017-10-06 16:47:59","1711"
"A19E486BK4N9KR","caus_thomas_boxes_v3","34S6N1K2ZVKV5V4V9BCLNOH1JRALH6","0","1","1","No","Yes","Yes","No","41927","114943","2017-10-06 16:48:13","1712"
"A2Z4VFK7LN3XUI","caus_thomas_boxes_v3","3PJ71Z61R43P0II8IP6AQSAZ28S19L","0","0","1","No","Yes","Yes","No","31136","86089","2017-10-06 16:48:45","1713"
"A1N4P4XGQM7NXE","caus_thomas_boxes_v3","34T446B1C0FRRR4TYQC1EDSX31NC08","0","1","0","Not sure","Not sure","Not sure","Yes","1023696","1053418","2017-10-06 16:49:07","1714"
"A1W16H497VK9Z2","caus_thomas_boxes_v3","3VJ40NV2QIOTGPYNMX92TOOJPQAOT0","0","1","0","No","Yes","Yes","Yes","46595","123054","2017-10-06 16:49:09","1715"
"ADG57UVEOGJ4N","caus_thomas_boxes_v3","3WS1NTTKEYDYU3O3PS22MJD00EMF0T","0","0","1","No","No","Yes","No","39436","91473","2017-10-06 16:49:19","1716"
"A2EABC3X5VMZ95","caus_thomas_boxes_v3","33CUSNVVNND7XDJJCI9B562WW8D88K","0","0","0","No","Yes","Yes","No","86265","224574","2017-10-06 16:49:30","1717"
"A31BO9NWS3PW78","caus_thomas_boxes_v3","3WQQ9FUS6AVQZBHQFUTLW8SX4E68BR","0","1","1","No","Yes","Yes","No","123718","211445","2017-10-06 16:49:34","1718"
