"subject","version","assignmentId","trial_ind","ex_ind","question_ind","response","correct","cond","rt","stamp","id"
"A3T021IZ1409ZH","caus_thomas_fire_v5","3M23Y66PO282CJF4X1II2J664476S5","8","6","0","No","1","1","4345","2017-10-16 16:24:48","7612"
"AICU65R9X9G60
","caus_thomas_fire_v5","3CP1TO84PT2DOGYSY3T7JVF2AFZ52N","0","9","0","Yes","1","0","4447","2017-10-16 16:24:48","7613"
"A1S7WGRS6BVBGW","caus_thomas_fire_v5","3WLEIWSYHOIP49INZ5UG8SISFOQ2H1","6","3","0","Yes","1","1","4771","2017-10-16 16:24:49","7614"
"A2NCNAIYI022X9","caus_thomas_fire_v5","3Y4W8Q93LZLHPKBN1JV1JC05KUPDVA","4","1","0","Yes","1","1","10512","2017-10-16 16:24:49","7615"
"A3USP1ZP069KCK","caus_thomas_fire_v5","37ZHEEHM6WNHW28UQWM90PYQ7ZU37B","2","8","0","No","1","0","7478","2017-10-16 16:24:49","7616"
"A3CLB6VUB79NXD","caus_thomas_fire_v5","3KWTYT08704JP2K089BCYREBGFQ5LC","3","8","0","Yes","1","0","5250","2017-10-16 16:24:50","7617"
"A2ZA6GLQTIF345","caus_thomas_fire_v5","31Q0U3WYDPGLMZUF3S8QCWJT9FG17H","1","0","0","Yes","1","0","7766","2017-10-16 16:24:50","7618"
"A1SU8C0D1IJYTN","caus_thomas_fire_v5","33PPO7FECVGC3ERN2CWI4NABCSUDIE","0","7","0","Yes","1","1","5875","2017-10-16 16:24:51","7619"
"A1DXSFFL5HZ1NX","caus_thomas_fire_v5","3NL0RFNU0FOQ9DYI94G1EZVIRJQK4J","3","0","0","Yes","1","0","3964","2017-10-16 16:24:51","7620"
"A2HG1N3BVQO6I","caus_thomas_fire_v5","3OLQQLKKNSQDQVPTGPS2M67WPJKEJK","3","9","0","No","1","0","8004","2017-10-16 16:24:51","7621"
"A21EJWA14YMY79","caus_thomas_fire_v5","3VSOLARPKBALALWN5TKTELPW2PI39N","0","5","0","No","1","0","15327","2017-10-16 16:24:51","7622"
